direction,level,design,k,draw,n_days,n_rpf,energy_iou,energy_precision,day_precision,sure_day_recall,fp,fn,rate_uncertain,single_class_stations
beta->alpha,station,random,18,17,10245,3329,0.8734396427121663,0.8942505852411422,0.9821728893373697,0.8771402823670772,53,409,0.03718887262079063,4.0
beta->alpha,station,random,18,18,10245,3327,0.8707104734381942,0.8923308432862348,0.9818426361802286,0.8776675683799219,54,407,0.03601756954612006,4.0
beta->alpha,station,random,18,19,10245,3325,0.8712241378480519,0.8929144437958139,0.9809428284854563,0.882406015037594,57,391,0.036896046852122985,4.0
beta->alpha,station,random,27,0,10155,3291,0.8710368705258391,0.8904118322963483,0.9757217847769029,0.9036766940139775,74,317,0.1604135893648449,3.0
beta->alpha,station,random,27,1,10155,3295,0.8679367181865618,0.8881274398474281,0.9787234042553191,0.8934749620637329,64,351,0.09226981782373216,3.0
beta->alpha,station,random,27,2,10155,3293,0.8712994177611556,0.8908191656977015,0.9799599198396793,0.8909808685089584,60,359,0.1359921221073363,3.0
beta->alpha,station,random,27,3,10155,3295,0.869462911271157,0.8898843769383269,0.9811511275664759,0.8846737481031867,56,380,0.04017725258493353,4.0
beta->alpha,station,random,27,4,10155,3292,0.8709620413325657,0.8913083721616996,0.9827118644067797,0.8806196840826246,51,393,0.12112259970457903,3.0
beta->alpha,station,random,27,5,10155,3306,0.8731955200725432,0.896644250347911,0.9823468328141225,0.8584392014519057,51,468,0.13559822747415065,4.0
beta->alpha,station,random,27,6,10155,3291,0.8707134980386773,0.8912595023262329,0.9830278343516633,0.8799756912792465,50,395,0.054948301329394385,3.0
beta->alpha,station,random,27,7,10155,3292,0.8718213002377191,0.8919012377212211,0.9801680672268908,0.8857837181044957,59,376,0.03545051698670606,4.0
beta->alpha,station,random,27,8,10155,3296,0.8703905887712454,0.8912890558491721,0.9865656217705822,0.8689320388349514,39,432,0.0241260462826194,4.0
beta->alpha,station,random,27,9,10155,3288,0.870836000818874,0.8910065388281139,0.9808917197452229,0.8899026763990268,57,362,0.1188577055637617,4.0
beta->alpha,station,random,27,10,10155,3299,0.8725747855355596,0.8924752588458075,0.980365605958023,0.877841770233404,58,403,0.03978335795174791,4.0
beta->alpha,station,random,27,11,10155,3285,0.8700070141669848,0.8898248079030476,0.9817752278096524,0.8855403348554034,54,376,0.031610044313146235,3.0
beta->alpha,station,random,27,12,10155,3282,0.8689492911233844,0.8882048970807978,0.9784625579854208,0.8997562461913468,65,329,0.14455933037912358,3.0
beta->alpha,station,random,27,13,10155,3296,0.8707295503544683,0.8916728078660131,0.9856948228882834,0.8780339805825242,42,402,0.02826193993106844,4.0
beta->alpha,station,random,27,14,10155,3290,0.8681177690722405,0.888626778254358,0.9804845222072678,0.8857142857142857,58,376,0.049630723781388476,3.0
beta->alpha,station,random,27,15,10155,3293,0.8697025745020802,0.8899215764850232,0.9805499664654594,0.8879441238991801,58,369,0.03604135893648449,4.0
beta->alpha,station,random,27,16,10155,3281,0.8684189319464255,0.888773486393825,0.9811129848229342,0.8866199329472721,56,372,0.054357459379615954,4.0
beta->alpha,station,random,27,17,10155,3296,0.8698343016188329,0.8904490151727952,0.9793402199266911,0.8916868932038835,62,357,0.1414081733136386,3.0
beta->alpha,station,random,27,18,10155,3294,0.8718251677518065,0.8925237545873873,0.9824027072758037,0.8812993321190042,52,391,0.028557360905957656,4.0
beta->alpha,station,random,27,19,10155,3291,0.8688306524753363,0.8890405890333193,0.9797140006651147,0.8951686417502279,61,345,0.048055145248645986,4.0
beta->alpha,station,random,54,0,9885,3213,0.8713327428107789,0.8917044005277128,0.9805128205128205,0.892623716153128,57,345,0.12139605462822459,4.0
beta->alpha,station,random,54,1,9885,3209,0.8693822808182177,0.8900826565864984,0.9822916666666667,0.8815830476784045,51,380,0.03014668689934244,3.0
beta->alpha,station,random,54,2,9885,3202,0.870291946957115,0.8907199948666638,0.9823529411764705,0.886633354153654,51,363,0.13485078401618614,3.0
beta->alpha,station,random,54,3,9885,3211,0.8716220352982653,0.8922593950144198,0.9846582984658299,0.8794767985051386,44,387,0.02893272635306019,4.0
beta->alpha,station,random,54,4,9885,3209,0.8694021994941781,0.8896158409937914,0.9820998278829605,0.8890620130881894,52,356,0.03237228123419322,4.0
beta->alpha,station,random,54,5,9885,3197,0.8710004826289091,0.8910942399535562,0.9833506763787722,0.8867688457929309,48,362,0.03672230652503793,4.0
beta->alpha,station,random,54,6,9885,3218,0.8705136609925931,0.8912242937991878,0.9827645639434678,0.8859540087010566,50,367,0.12918563480020231,3.0
beta->alpha,station,random,54,7,9885,3206,0.8719864062543965,0.8919729788593803,0.9797041623667011,0.8883343730505302,59,358,0.03631765300961052,3.0
beta->alpha,station,random,54,8,9885,3202,0.8702934250424903,0.8912097813810446,0.9814490724536227,0.8757026858213617,53,398,0.03692463328275165,3.0
beta->alpha,station,random,54,9,9885,3208,0.8680472955875768,0.8883886094356466,0.9801573725624358,0.8930798004987531,58,343,0.13687405159332322,3.0
beta->alpha,station,random,54,10,9885,3203,0.869727924095552,0.8898529031974395,0.9806629834254144,0.8866687480487043,56,363,0.03844208396560445,4.0
beta->alpha,station,random,54,11,9885,3191,0.8695773641146438,0.8894531430923519,0.9801505817932923,0.8975242870573488,58,327,0.039656044511886694,3.0
beta->alpha,station,random,54,12,9885,3205,0.8711782532107187,0.8921824079532469,0.9805892547660312,0.8826833073322933,56,376,0.036519979767324226,3.0
beta->alpha,station,random,54,13,9885,3196,0.8673545790691825,0.8876514506911264,0.9800481596147231,0.8914267834793492,58,347,0.040667678300455236,4.0
beta->alpha,station,random,54,14,9885,3202,0.8703983976001022,0.8907951806154603,0.9816418427433322,0.8850718301061836,53,368,0.13222053616590795,3.0
beta->alpha,station,random,54,15,9885,3213,0.8710038873253145,0.8915786805098653,0.9823651452282157,0.8842203548085901,51,372,0.03368740515933232,4.0
beta->alpha,station,random,54,16,9885,3196,0.8695938120681991,0.8894188814117243,0.9810082872928176,0.8889236545682102,55,355,0.03732928679817906,3.0
beta->alpha,station,random,54,17,9885,3197,0.8689629798920364,0.8892898046816377,0.9799931010693342,0.8886456052549265,58,356,0.0370257966616085,4.0
beta->alpha,station,random,54,18,9885,3217,0.8697841752024458,0.8901560250903608,0.9807626245276537,0.8874728007460366,56,362,0.034092058674759736,3.0
beta->alpha,station,random,54,19,9885,3206,0.8714197184038616,0.8920154245054503,0.9838822704975473,0.875857766687461,46,398,0.0291350531107739,3.0
beta->alpha,station,random,108,0,9345,3025,0.8705874009506143,0.8899578689156582,0.9784172661870504,0.8991735537190083,60,305,0.14093097913322633,3.0
beta->alpha,station,random,108,1,9345,3040,0.869614625689136,0.8895511973342743,0.9808318264014466,0.8921052631578947,53,328,0.035098983413590155,3.0
beta->alpha,station,random,108,2,9345,3034,0.8700881710354794,0.8897726330485211,0.9782844733984799,0.8909030982201714,60,331,0.04066345639379347,3.0
beta->alpha,station,random,108,3,9345,3024,0.8718466993495392,0.8921363267179294,0.9810357403355215,0.8895502645502645,52,334,0.03124665596575709,3.0
beta->alpha,station,random,108,4,9345,3036,0.869986855580095,0.8895953538305524,0.9801801801801802,0.8959156785243741,55,316,0.036276083467094704,3.0
beta->alpha,station,random,108,5,9345,3018,0.8676329658154956,0.8880628297664311,0.9817916970138383,0.8933068257123923,50,322,0.13611556982343498,3.0
beta->alpha,station,random,108,6,9345,3041,0.8633660477516238,0.8839907814608207,0.9805335255948089,0.8944426175600132,54,321,0.035955056179775284,3.0
beta->alpha,station,random,108,7,9345,3021,0.8695070708524258,0.8887371485402122,0.9790840245221781,0.8987090367428004,58,306,0.0409844836811129,3.0
beta->alpha,station,random,108,8,9345,3026,0.8694535432043651,0.8896750057637328,0.9803063457330415,0.8883013879709187,54,338,0.03467094703049759,3.0
beta->alpha,station,random,108,9,9345,3035,0.8678821526992826,0.8880559923058311,0.9814747548129313,0.8902800658978584,51,333,0.12948100588550027,3.0
beta->alpha,station,random,108,10,9345,3014,0.8710119219009012,0.8904236168570974,0.980427691192461,0.8974784339747843,54,309,0.03927233814874264,3.0
beta->alpha,station,random,108,11,9345,3020,0.866594621286095,0.8866450610528914,0.9797760924521488,0.8983443708609271,56,307,0.037988228999464954,3.0
beta->alpha,station,random,108,12,9345,3038,0.8745159071602976,0.8950087970586293,0.9827901867447821,0.8834759710335747,47,354,0.029534510433386837,3.0
beta->alpha,station,random,108,13,9345,3029,0.8706151456641462,0.8901735406383633,0.9819168173598554,0.89633542423242,50,314,0.034777956126270736,3.0
beta->alpha,station,random,108,14,9345,3022,0.8686877287887965,0.8896072923355242,0.981118373275236,0.8941098610191925,52,320,0.03606206527554842,3.0
beta->alpha,station,random,108,15,9345,3023,0.8673833854682449,0.8871812860942343,0.9776817854571634,0.8984452530598743,62,307,0.14135901551631888,3.0
beta->alpha,station,random,108,16,9345,3046,0.8709838292027146,0.890832874223837,0.9803350327749454,0.8837820091923835,54,354,0.03220973782771536,3.0
beta->alpha,station,random,108,17,9345,3038,0.8712745775998381,0.890920544835221,0.9798850574712644,0.8979591836734694,56,310,0.13408239700374533,3.0
beta->alpha,station,random,108,18,9345,3034,0.8702716497692817,0.8900132438897108,0.9818379949146385,0.8909030982201714,50,331,0.03124665596575709,3.0
