c_correct,c_keep,n_days,n_rpf,auto_share,review_days,review_share,review_yield,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,day_f1,energy_precision,energy_iou,fp_per_station_year,auto_fn_per_station_year,review_days_per_station_year,expected_day_precision,expected_fp,cohort
0.975,0.025000000000000022,2288,470,0.7644230769230769,539,0.23557692307692307,0.6103896103896104,134,0,7,134,1.0,0.2851063829787234,0.44370860927152317,0.9850197354543403,0.38613823114477464,0.0,1.1174606643356644,86.04447115384616,0.9843046836027233,2.1031723972350904,beta
0.98,0.020000000000000018,2288,470,0.7473776223776224,578,0.2526223776223776,0.629757785467128,100,0,6,100,1.0,0.2127659574468085,0.3508771929824561,0.9849684844672669,0.2926329015318449,0.0,0.9578234265734266,92.27032342657343,0.9865722570814345,1.342774291856559,beta
0.985,0.015000000000000013,2288,470,0.7246503496503497,630,0.27534965034965037,0.6396825396825396,61,0,6,61,1.0,0.12978723404255318,0.22975517890772126,0.9830030066999272,0.16899198926453488,0.0,0.9578234265734266,100.57145979020979,0.9892316028620391,0.6568722254156104,beta
0.99,0.010000000000000009,2288,470,0.6984265734265734,690,0.30157342657342656,0.6420289855072464,21,0,6,21,1.0,0.04468085106382979,0.08553971486761712,0.998668691369528,0.05524192145728572,0.0,0.9578234265734266,110.14969405594405,0.9921139377659822,0.16560730691437764,beta
0.995,0.0050000000000000044,2288,470,0.6756993006993007,742,0.3243006993006993,0.6226415094339622,2,0,6,2,1.0,0.00425531914893617,0.008474576271186442,0.9947401481615648,0.007653782940142183,0.0,0.9578234265734266,118.45083041958043,0.9953704445247916,0.00925911095041676,beta
0.5,0.5,10393,3381,0.9998075627826422,2,0.000192437217357837,1.0,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.94279176201373,0.8860446178641213,0.8671090387558814,2.9520831328778985,10.15657173097277,0.07028769363994997,0.9856784737566443,45.4565242964109,alpha
0.505,0.495,10393,3381,0.9993264697392475,7,0.0006735302607524295,0.7142857142857143,3173,84,287,3089,0.973526630948629,0.9136350192250814,0.9426304546841625,0.8860425582462788,0.8670913514341435,2.9520831328778985,10.08628403733282,0.24600692773982488,0.9858300455776384,44.96126538215309,alpha
0.51,0.49,10393,3381,0.9990378139132108,10,0.0009621860867891851,0.6,3172,83,286,3089,0.9738335435056746,0.9136350192250814,0.9427743018464826,0.886047229094089,0.8670958246124729,2.9169392860579237,10.051140190512845,0.35143846819974983,0.9859810911850588,44.467978760993326,alpha
0.515,0.485,10393,3381,0.9984605022611373,16,0.001539497738862696,0.5625,3170,82,284,3088,0.9741324921135647,0.9133392487429755,0.9427568310181651,0.8860502404955178,0.8670987085713734,2.8817954392379486,9.980852496872895,0.5623015491195997,0.9862799128063788,43.49267640377931,alpha
0.52,0.48,10393,3381,0.9980756278264217,20,0.0019243721735783701,0.6,3170,82,281,3088,0.9741324921135647,0.9133392487429755,0.9427568310181651,0.8860502404955178,0.8670987085713734,2.8817954392379486,9.87542095641297,0.7028769363994997,0.9862799128063788,43.49267640377931,alpha
